"iso3","year","num_genres","youth_dep_ratio","gdppc","gini","internet_pen","litrate_15","lit_rate","sec_comp","youth_pop","urban_pop","dem_index","region"
"ARE",2021,300,18.222980352852,44315.554183896,NA,100,98.1263580322266,99.6626663208008,NA,15.1430338314588,87.299,2.9,"Middle East & North Africa"
"ARE",2022,252,18.3655225399368,53757.8632508308,NA,100,98.2854080200195,99.6600570678711,NA,15.2321568337938,87.543,2.9,"Middle East & North Africa"
"ARG",2021,168,36.0324735245691,10636.1155301986,42,87.15070683,NA,NA,108.788223266602,23.3567371619625,92.229,6.81,"Latin America & Caribbean"
"ARG",2022,150,35.4512077083876,13686.0086737317,NA,88.37535691,NA,NA,NA,23.0533315543961,92.347,6.85,"Latin America & Caribbean"
"AUS",2021,296,28.241668604393,60444.5023551978,NA,96.24,NA,NA,NA,18.3733291452377,86.362,8.9,"East Asia & Pacific"
"AUS",2022,243,28.0046909063763,64491.4298860631,NA,NA,NA,NA,NA,18.180046703239,86.488,8.71,"East Asia & Pacific"
"AUT",2021,347,21.7391106264209,53637.7057109897,NA,92.52915104,NA,NA,99.6848831176758,14.3854932066305,58.995,8.07,"Europe & Central Asia"
"AUT",2022,261,21.846263246411,52131.4466586387,NA,93.61409139,NA,NA,NA,14.3780936028915,59.256,8.2,"Europe & Central Asia"
"BEL",2021,343,26.1181003162288,51268.3880373598,NA,92.78867618,NA,NA,93.7259368896484,16.6881103554996,98.117,7.51,"Europe & Central Asia"
"BEL",2022,249,25.940249178889,49582.8253649187,NA,94.00783071,NA,NA,NA,16.5336142204011,98.153,7.64,"Europe & Central Asia"
"BGR",2021,269,22.0097618309893,12222.235645941,NA,75.27144583,98.4199981689453,98.0599975585938,91.0966567993164,13.9947290591926,76.025,6.64,"Europe & Central Asia"
"BGR",2022,223,21.9970798561613,13772.476794451,NA,79.12686326,NA,NA,NA,13.9959094378861,76.363,6.53,"Europe & Central Asia"
"BLR",2022,120,25.4026662606199,7904.85624285517,NA,89.50733148,NA,NA,93.2571334838867,16.7758482748921,80.326,1.99,"Europe & Central Asia"
